Word,both_hit,both_fa,both_h_fa,d_both,c_both,img,Bird2001,Bristol2006,Chiarello1999,Glasgow2018,Cortese,MRC,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Max_strength.perceptual,Max_strength.action,Max_strength.sensorimotor,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor,c.Bird,c.Bristol,c.Chiarello,c.Cortese,c.Glasgow,c.MRC,Frequency,Length.y,Body,Food,Object,Communication
MARRIAGE,0.87,0.3,0.57,1.64,-0.29,5.6,NA,NA,NA,5.853,5.6,5.56,1.4,0.25,0.95,1.95,0.45,3.25,1.526,2.105,3.105,2.316,1.789,3.25,3.105,3.25,3.569,3.936,4.739,NA,NA,NA,1.09923593,0.994183359,0.762696059,1.230963397,0.517842545,0.870767398,-0.071999057,-0.261082426,0.627088065
MARROW,0.87,0.25,0.62,1.79,-0.22,4.8,NA,NA,3.28571,NA,4.8,NA,0.222,1.056,1.333,0.611,0.556,2.889,1.353,1.765,1.882,1.529,1.235,2.889,1.882,2.889,3.039,2.719,3.639,NA,NA,-1.630724131,0.29923593,NA,NA,-0.383341706,-0.26308034,0.192594986,0.387462662,-0.394542715,-1.112231682
MARRY,0.82,0.1,0.72,2.18,0.19,5.9,NA,4.98,6.2963,5.121,5.9,5.23,1.95,0.1,0.9,1.5,0.25,3.35,1.3,2.3,2.65,2,1.45,3.35,2.65,3.35,3.663,3.531,4.533,NA,0.971193786,1.379865869,1.39923593,0.262183359,0.432696059,1.230915745,-0.535228423,0.612278216,-0.401505619,-0.618408469,0.398556965
MARTIAL,0.8,0.12,0.68,2.03,0.18,4.2,NA,NA,NA,3.767,4.2,4.12,1.471,0,0.471,0.471,0.059,2.118,1.167,1.444,1.222,0.611,1.167,2.118,1.444,2.118,2.344,2.02,2.765,NA,NA,NA,-0.30076407,-1.091816641,-0.677303941,-0.173148542,0.037716561,-0.135895648,-0.950268594,-1.403049878,-1.442883737
MARTYR,0.92,0.12,0.8,2.57,-0.1,5.3,NA,NA,NA,NA,5.3,NA,2.067,0.333,0.667,1,0.667,2.733,0.591,0.727,2.682,1.182,0.818,2.733,2.682,2.733,3.137,2.805,3.755,NA,NA,NA,0.79923593,NA,NA,-0.480259235,-0.415046968,-0.685146371,-0.185661404,-0.287159485,0.429394872
MARVEL,0.88,0.5,0.38,1.19,-0.6,4,NA,NA,3.07407,3.514,4,4.1,1.111,0,0.5,2.333,0.056,3,0.5,0.7,2.6,1.65,0.5,3,2.6,3,3.454,2.83,3.997,NA,NA,-1.842364131,-0.50076407,-1.344816641,-0.697303941,-0.428383029,-0.281489191,-0.460999922,-0.34899308,-0.472561232,0.414368178
MASCOT,0.78,0.28,0.5,1.36,-0.11,6.4,NA,NA,NA,NA,6.4,NA,2.118,0,0.412,0.176,0,4.235,0.952,1.333,2.429,0.571,0.905,4.235,2.429,4.235,4.406,2.644,4.703,NA,NA,NA,1.89923593,NA,NA,-0.210023687,0.200351858,-0.327099664,-0.943013753,1.155806553,0.476709172
MASON,0.78,0.2,0.58,1.63,0.03,3.8,NA,NA,NA,NA,3.8,NA,1.158,0.053,1.105,0.158,0.105,2.737,0.3,1.8,2,0.65,0.5,2.737,2,2.737,2.861,2.425,3.352,NA,NA,NA,-0.70076407,NA,NA,0.281229461,-0.277460631,-0.882225373,-0.745202559,0.169955413,-0.801465609
MASSAGE,0.87,0.18,0.68,2.01,-0.1,6.5,NA,NA,NA,NA,6.5,NA,0.722,0.056,4.389,2.833,0.333,1.278,2.55,4.5,2.4,0.35,3.2,4.389,4.5,4.5,4.788,5.364,6.416,NA,NA,NA,1.99923593,NA,NA,0.136020389,0.502471394,3.858119381,-0.05529,-0.531301425,-0.769139814
MASSEUSE,0.87,0.12,0.75,2.3,0.04,5,NA,NA,NA,NA,5,NA,0.875,0,3.938,2.25,0.312,3.25,2.5,3.786,2.429,0.571,2.571,3.938,3.786,3.938,4.754,4.663,5.933,NA,NA,NA,0.49923593,NA,NA,-1.001991727,0.384469387,3.195856262,-0.172550944,0.43128874,-0.404221227
